Replicate Name,Peptide Note,Total Area MS1,Peptide Retention Time
blank_00,1-1_H3_3_8_K4_p,0,25.49
blank_01,1-1_H3_3_8_K4_p,1779,25.49
QC_pre01,1-1_H3_3_8_K4_p,1781451264,26.6
QC_pre02,1-1_H3_3_8_K4_p,1531066240,24.98
QC_pre03,1-1_H3_3_8_K4_p,1764466304,23.14
QC_00,1-1_H3_3_8_K4_p,919277888,22.98
QC_01,1-1_H3_3_8_K4_p,1927463808,24.87
QC_02,1-1_H3_3_8_K4_p,2257939968,23.34
QC_03,1-1_H3_3_8_K4_p,1795897088,24.65
QC_05,1-1_H3_3_8_K4_p,1897037440,24.25
QC_04,1-1_H3_3_8_K4_p,1925199872,24.18
IM01r1,1-1_H3_3_8_K4_p,166258880,24.61
IM01r2,1-1_H3_3_8_K4_p,155936784,24.67
IM01r3,1-1_H3_3_8_K4_p,172485248,24.14
IM02r1,1-1_H3_3_8_K4_p,1687992576,24.81
IM02r2,1-1_H3_3_8_K4_p,1683489536,24.49
IM02r3,1-1_H3_3_8_K4_p,2352278528,23.62
IM03r1,1-1_H3_3_8_K4_p,468546080,24.87
IM03r2,1-1_H3_3_8_K4_p,486028096,24.89
IM03r3,1-1_H3_3_8_K4_p,454448928,24.8
IM04r1,1-1_H3_3_8_K4_p,1146534784,25.63
IM04r2,1-1_H3_3_8_K4_p,1141232000,25.5
IM04r3,1-1_H3_3_8_K4_p,1205415296,25.06
IM05r1,1-1_H3_3_8_K4_p,1268222848,24.58
IM05r2,1-1_H3_3_8_K4_p,1271639808,24.9
IM05r3,1-1_H3_3_8_K4_p,1240498944,24.94
EJ06r1,1-1_H3_3_8_K4_p,902612864,24.78
EJ06r2,1-1_H3_3_8_K4_p,966000768,24.65
EJ06r3,1-1_H3_3_8_K4_p,973585856,24.39
EJ07r1,1-1_H3_3_8_K4_p,3777663488,24.07
EJ07r2,1-1_H3_3_8_K4_p,4121863936,23.63
EJ07r3,1-1_H3_3_8_K4_p,3222436096,23.98
EJ08r1,1-1_H3_3_8_K4_p,5361520640,23.98
EJ08r2,1-1_H3_3_8_K4_p,5804682240,23.61
EJ08r3,1-1_H3_3_8_K4_p,4929256960,24.16
EJ09r1,1-1_H3_3_8_K4_p,3232457472,24.15
EJ09r2,1-1_H3_3_8_K4_p,3420385792,24
EJ09r3,1-1_H3_3_8_K4_p,3258515968,23.89
EJ10r1,1-1_H3_3_8_K4_p,3202858240,24.88
EJ10r2,1-1_H3_3_8_K4_p,3153477632,25.3
EJ10r3,1-1_H3_3_8_K4_p,3503385088,25.65
blank_00,1-2_H3_3_8_K4_m1,0,34
blank_01,1-2_H3_3_8_K4_m1,0,34
QC_pre01,1-2_H3_3_8_K4_m1,247115936,35.41
QC_pre02,1-2_H3_3_8_K4_m1,230520160,35.14
QC_pre03,1-2_H3_3_8_K4_m1,159749408,33.55
QC_00,1-2_H3_3_8_K4_m1,0,34
QC_01,1-2_H3_3_8_K4_m1,195981312,34.84
QC_02,1-2_H3_3_8_K4_m1,156189168,34.02
